name,iso_country,iso_region,continent,municipality,iata_code,icao_code,latitude_deg,longitude_deg,elevation_ft,scheduled_service,type,is_international,wikipedia_link
Touat-Cheikh Sidi Mohamed Belkebir Airport,DZ,DZ-01,AF,Adrar,AZR,DAUA,27.837601,-0.186414,919.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Touat_Cheikh_Sidi_Mohamed_Belkebir_Airport
Touggourt Sidi Madhi Airport,DZ,DZ-55,AF,Touggourt,TGR,DAUK,33.067799,6.08867,279.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Touggourt_Sidi_Madhi_Airport
Touho Airport,NC,NC-02,OC,Touho,TOU,NWWU,-20.790127,165.259524,10.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Touho_Airport
Toulon-Hyères Airport,FR,FR-PAC,EU,"Hyères, Var",TLN,LFTH,43.097301,6.14603,7.0,yes,medium_airport,yes,https://en.wikipedia.org/wiki/Toulon-Hy%C3%A8res_Airport
Toulouse-Blagnac Airport,FR,FR-OCC,EU,Toulouse/Blagnac,TLS,LFBO,43.629101,1.36382,499.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Toulouse_Blagnac_International_Airport
Tours Val de Loire Airport,FR,FR-CVL,EU,"Tours, Indre-et-Loire",TUF,LFOT,47.432201,0.727606,357.0,yes,medium_airport,yes,https://en.wikipedia.org/wiki/Tours_Val_de_Loire_Airport
Toussaint Louverture International Airport,HT,HT-OU,NA,Port-au-Prince,PAP,MTPP,18.580023,-72.292596,122.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Toussaint_Louverture_International_Airport
Townsville Airport / RAAF Base Townsville,AU,AU-QLD,OC,Townsville,TSV,YBTL,-19.252904,146.766512,18.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Townsville_Airport
Toyama Kitokito Airport,JP,JP-16,AS,Toyama,TOY,RJNT,36.648416,137.187359,95.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Toyama_Airport
Tozeur Nefta International Airport,TN,TN-72,AF,Tozeur,TOE,DTTZ,33.939701080322266,8.110560417175293,287.0,yes,medium_airport,yes,https://en.wikipedia.org/wiki/Nefta_Airport
Trabzon International Airport,TR,TR-61,AS,Trabzon,TZX,LTCG,40.995098,39.7897,104.0,yes,medium_airport,yes,https://en.wikipedia.org/wiki/Trabzon_Airport
Trail Regional Airport,CA,CA-BC,NA,Trail,YZZ,,49.055599,-117.609001,1427.0,yes,small_airport,no,https://en.wikipedia.org/wiki/Trail_Airport
Trang Airport,TH,TH-92,AS,Trang,TST,VTST,7.50874,99.6166,67.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Trang_Airport
Trat Airport,TH,TH-23,AS,Laem Ngop,TDX,VTBO,12.2746,102.319,105.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Trat_Airport
Treasure Cay Airport,BS,BS-CO,NA,Treasure Cay,TCB,MYAT,26.745300293,-77.3912963867,8.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Treasure_Cay_Airport
Trenton Mercer Airport,US,US-NJ,NA,Ewing Township,TTN,KTTN,40.276699,-74.813499,213.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Trenton-Mercer_Airport
Tres De Mayo Airport,CO,CO-PUT,SA,Puerto Asís,PUU,SKAS,0.505228,-76.5008,815.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Tres_de_Mayo_Airport
Treviso Airport,IT,IT-34,EU,Treviso (TV),TSF,LIPH,45.648399,12.1944,59.0,yes,large_airport,no,https://en.wikipedia.org/wiki/Treviso_Airport
Tri Cities Airport,US,US-WA,NA,Pasco,PSC,KPSC,46.264702,-119.119003,410.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Tri-Cities_Airport_(Washington)
Tri-Cities Regional TN/VA Airport,US,US-TN,NA,Blountville,TRI,KTRI,36.475201,-82.407401,1519.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Tri-Cities_Regional_Airport
Tri-State Airport / Milton J. Ferguson Field,US,US-WV,NA,Huntington,HTS,KHTS,38.366699,-82.557999,828.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Tri-State_Airport
Tribhuvan International Airport,NP,NP-P3,AS,Kathmandu,KTM,VNKT,27.6966,85.3591,4390.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Tribhuvan_International_Airport
Trieste Airport,IT,IT-36,EU,Ronchi dei Legionari/Trieste,TRS,LIPQ,45.827862,13.466672,39.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Trieste_%E2%80%93_Friuli_Venezia_Giulia_Airport
Trollhättan-Vänersborg Airport,SE,SE-Q,EU,Trollhättan,THN,ESGT,58.31809997558594,12.345000267028809,137.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Trollh%C3%A4ttan-V%C3%A4nersborg_Airport
Trombetas Airport,BR,BR-PA,SA,Oriximiná,TMT,SBTB,-1.4896,-56.396801,167.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Porto_Trombetas_Airport
Tromsø Airport,NO,NO-55,EU,Tromsø,TOS,ENTC,69.683296,18.9189,31.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Troms%C3%B8_Airport
"Trondheim Airport, Værnes",NO,NO-50,EU,Trondheim,TRD,ENVA,63.457802,10.924,56.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Trondheim_Airport%2C_V%C3%A6rnes
Tshikapa Airport,CD,CD-KS,AF,Tshikapa,TSH,FZUK,-6.43833,20.794701,1595.0,no,small_airport,no,https://en.wikipedia.org/wiki/Tshikapa_Airport
Tsushima Airport,JP,JP-42,AS,Tsushima,TSJ,RJDT,34.2849006653,129.330993652,213.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Tsushima_Airport
Tubuai Airport,PF,PF-U-A,OC,,TUB,NTAT,-23.365400314331055,-149.5240020751953,7.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Tubuai_-_Mataura_Airport
Tucson International Airport,US,US-AZ,NA,Tucson,TUS,KTUS,32.115004,-110.938053,2643.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Tucson_International_Airport
Tucuruí Airport,BR,BR-PA,SA,Tucuruí,TUR,SBTU,-3.78601,-49.720299,830.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Tucuru%C3%AD_Airport
Tufi Airport,PG,PG-NPP,OC,Tufi,TFI,AYTU,-9.07595443726,149.319839478,85.0,yes,small_airport,no,https://en.wikipedia.org/wiki/Tufi_Airport
Tuguegarao Airport,PH,PH-CAG,AS,Tuguegarao City,TUG,RPUT,17.6433676823,121.733150482,70.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Tuguegarao_Airport
Tuktoyaktuk / James Gruben Airport,CA,CA-NT,NA,Tuktoyaktuk,YUB,CYUB,69.433296,-133.026001,15.0,no,small_airport,no,https://en.wikipedia.org/wiki/Tuktoyaktuk/James_Gruben_Airport
Tulita Airport,CA,CA-NT,NA,Tulita,ZFN,CZFN,64.909496,-125.570297,332.0,yes,small_airport,no,https://en.wikipedia.org/wiki/Tulita_Airport
Tulsa International Airport,US,US-OK,NA,Tulsa,TUL,KTUL,36.197084,-95.886225,677.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Tulsa_International_Airport
Tuluksak Airport,US,US-AK,NA,Tuluksak,TLT,,61.086973,-160.922842,30.0,yes,small_airport,no,https://en.wikipedia.org/wiki/Tuluksak_Airport
Tumling Tar Airport,NP,NP-P1,AS,Tumling Tar,TMI,VNTR,27.315001,87.193298,1700.0,yes,small_airport,no,https://en.wikipedia.org/wiki/Tumlingtar_Airport
Tunis Carthage International Airport,TN,TN-11,AF,Tunis,TUN,DTTA,36.851002,10.2272,22.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Tunis-Carthage_International_Airport
Tuntutuliak Airport,US,US-AK,NA,Tuntutuliak,WTL,,60.351243,-162.654476,16.0,yes,small_airport,no,https://en.wikipedia.org/wiki/Tuntutuliak_Airport
Tununak Airport,US,US-AK,NA,Tununak,TNK,,60.569638,-165.246649,14.0,yes,small_airport,no,https://en.wikipedia.org/wiki/Tununak_Airport
