location,airport,iata,latitude,longitude,region
Gulu,Gulu Airport,ULU,2.8055601119995117,32.27180099487305,Africa
Livingstone,Harry Mwanga Nkumbula International Airport,LVI,-17.821524,25.819642,Africa
Lusaka,Kenneth Kaunda International Airport,LUN,-15.330833,28.452722,Africa
Mfuwe,Mfuwe Airport,MFU,-13.2589,31.9366,Africa
Ndola,Simon Mwansa Kapwepwe International Airport,NLA,-12.96513,28.515624,Africa
Harare,Robert Gabriel Mugabe International Airport,HRE,-17.931801,31.0928,Africa
Victoria Falls,Victoria Falls Airport,VFA,-18.097437,25.836867,Africa
Bulawayo,Joshua Mqabuko Nkomo International Airport,BUQ,-20.016284,28.622897,Africa
The Valley,Clayton J. Lloyd International Airport,AXA,18.204773,-63.05383,Americas
St. John's,V. C. Bird International Airport,ANU,17.1367,-61.792702,Americas
Oranjestad,Queen Beatrix International Airport,AUA,12.501056,-70.014281,Americas
Nassau,Lynden Pindling International Airport,NAS,25.039,-77.466202,Americas
Chub Cay,Chub Cay International Airport,CCZ,25.417101,-77.880898,Americas
Exuma,Exuma International Airport,GGT,23.562599,-75.877998,Americas
Freeport,Grand Bahama International Airport,FPO,26.557996,-78.695583,Americas
North Eleuthera,North Eleuthera Airport,ELH,25.475823,-76.680784,Americas
South Eleuthera,Rock Sound International Airport,RSD,24.89165,-76.177602,Americas
Marsh Harbour,Marsh Harbour International Airport,MHH[1],,,Americas
Bridgetown,Grantley Adams International Airport,BGI,13.074667,-59.491034,Americas
Road Town,Terrance B. Lettsome International Airport,EIS,18.445492,-64.541707,Americas
"Kralendijk, Bonaire",Flamingo International Airport,BON,12.131,-68.268501,Americas
"Oranjestad, Sint Eustatius",F. D. Roosevelt Airport,EUX,17.4965,-62.979401,Americas
"Flat Point, Saba",Juancho E. Yrausquin Airport,SAB,17.64533,-63.220514,Americas
Cayman Brac,Charles Kirkconnell International Airport,CYB,19.687,-79.882797,Americas
Georgetown,Owen Roberts International Airport,GCM,19.292801,-81.357697,Americas
Camagüey,Ignacio Agramonte International Airport,CMW,21.419909,-77.848039,Americas
Cayo Coco,Jardines del Rey Airport,CCC,22.461000442499998,-78.32839965820001,Americas
Cayo Largo del Sur,Vilo Acuña Airport,CYO,21.6165008545,-81.5459976196,Americas
Cienfuegos,Jaime González Airport,CFG,22.149999618530273,-80.41419982910156,Americas
Havana,José Martí International Airport,HAV,22.989200592041016,-82.40910339355469,Americas
Holguín,Frank País Airport,HOG,20.785148,-76.315526,Americas
Santa Clara,Abel Santamaría Airport,SNU,22.492215,-79.943119,Americas
Santiago de Cuba,Antonio Maceo Airport,SCU,19.97474,-75.835504,Americas
Varadero,Juan Gualberto Gómez Airport,VRA,23.034401,-81.435303,Americas
Willemstad,Curaçao International Airport,CUR,12.1889,-68.959801,Americas
Marigot,Douglas–Charles Airport,DOM,15.546673,-61.301082,Americas
Barahona,María Montez International Airport,BRX,18.25149917602539,-71.12039947509766,Americas
La Romana,La Romana International Airport,LRM,18.452222,-68.911111,Americas
Punta Cana,Punta Cana International Airport,PUJ,18.567093,-68.364558,Americas
Samana,Samaná El Catey International Airport,AZS,19.269259,-69.737405,Americas
