name,iso_country,iso_region,continent,municipality,iata_code,icao_code,latitude_deg,longitude_deg,elevation_ft,scheduled_service,type,is_international,wikipedia_link
Harry Reid International Airport,US,US-NV,NA,Las Vegas,LAS,KLAS,36.083361,-115.151817,2181.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Harry_Reid_International_Airport
Hartsfield Jackson Atlanta International Airport,US,US-GA,NA,Atlanta,ATL,KATL,33.6367,-84.428101,1026.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Hartsfield–Jackson_Atlanta_International_Airport
Hattiesburg Laurel Regional Airport,US,US-MS,NA,Moselle,PIB,KPIB,31.4671,-89.337097,298.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Hattiesburg-Laurel_Regional_Airport
Havre City County Airport,US,US-MT,NA,Havre,HVR,KHVR,48.541387,-109.762859,2591.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Havre_City%E2%80%93County_Airport
Hector International Airport,US,US-ND,NA,Fargo,FAR,KFAR,46.9207,-96.815804,902.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Hector_International_Airport
Helena Regional Airport,US,US-MT,NA,Helena,HLN,KHLN,46.6068,-111.983002,3877.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Helena_Regional_Airport
Hilo International Airport,US,US-HI,OC,Hilo,ITO,PHTO,19.72135,-155.045428,38.0,yes,medium_airport,yes,https://en.wikipedia.org/wiki/Hilo_International_Airport
Hilton Head Airport,US,US-SC,NA,Hilton Head Island,HHH,KHXD,32.2244,-80.697502,19.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Hilton_Head_Airport
Hollywood Burbank/Bob Hope Airport,US,US-CA,NA,Burbank,BUR,KBUR,34.202834,-118.35805,778.0,yes,large_airport,no,https://en.wikipedia.org/wiki/Hollywood_Burbank_Airport
Holy Cross Airport,US,US-AK,NA,Holy Cross,HCR,PAHC,62.18830108642578,-159.77499389648438,70.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Holy_Cross_Airport
Homer Airport,US,US-AK,NA,Homer,HOM,PAHO,59.644456,-151.479235,84.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Homer_Airport
Houghton County Memorial Airport,US,US-MI,NA,Hancock,CMX,KCMX,47.168399810791016,-88.48909759521484,1095.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Houghton_County_Memorial_Airport
Huntsville International Airport,US,US-AL,NA,Huntsville,HSV,KHSV,34.636244,-86.774378,629.0,yes,medium_airport,yes,https://en.wikipedia.org/wiki/Huntsville_International_Airport
Huron Regional Airport,US,US-SD,NA,Huron,HON,KHON,44.385201,-98.2285,1289.0,no,medium_airport,no,https://en.wikipedia.org/wiki/Huron_Regional_Airport
Huslia Airport,US,US-AK,NA,Huslia,HSL,PAHL,65.697899,-156.350998,220.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Huslia_Airport
Idaho Falls Regional Airport,US,US-ID,NA,Idaho Falls,IDA,KIDA,43.514599,-112.070999,4744.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Idaho_Falls_Regional_Airport
Iliamna Airport,US,US-AK,NA,Iliamna,ILI,PAIL,59.754398,-154.910996,192.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Iliamna_Airport
Imperial County Airport,US,US-CA,NA,Imperial,IPL,KIPL,32.83539,-115.574026,-54.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Imperial_County_Airport
Indianapolis International Airport,US,US-IN,NA,Indianapolis,IND,KIND,39.7173,-86.294403,797.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Indianapolis_International_Airport
Ithaca Tompkins Regional Airport,US,US-NY,NA,Ithaca,ITH,KITH,42.49100112915039,-76.4583969116211,1099.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Ithaca_Tompkins_Regional_Airport
Jack Brooks Regional Airport,US,US-TX,NA,Beaumont/Port Arthur,BPT,KBPT,29.9508,-94.020699,15.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Jack_Brooks_Regional_Airport
