State,City,FAA,IATA,ICAO,Airport,Role,Enplanements
KENTUCKY,Cincinnati/Covington,CVG,CVG,KCVG,Cincinnati/Northern Kentucky International Airport,P-M,"4,500,414"
KENTUCKY,Lexington,LEX,LEX,KLEX,Blue Grass Airport,P-S,"776,297"
KENTUCKY,Louisville,SDF,SDF,KSDF,Louisville Muhammad Ali International Airport (Standiford Field),P-S,"2,343,305"
KENTUCKY,Owensboro,OWB,OWB,KOWB,Owensboro–Daviess County Regional Airport,P-N,"8,835"
KENTUCKY,Paducah,PAH,PAH,KPAH,Barkley Regional Airport,P-N,"13,456"
LOUISIANA,Alexandria,AEX,AEX,KAEX,Alexandria International Airport,P-N,"204,603"
LOUISIANA,Baton Rouge,BTR,BTR,KBTR,Baton Rouge Metropolitan Airport (Ryan Field),P-N,"419,446"
LOUISIANA,Lafayette,LFT,LFT,KLFT,Lafayette Regional Airport (Paul Fournet Field),P-N,"264,471"
LOUISIANA,Lake Charles,LCH,LCH,KLCH,Lake Charles Regional Airport,P-N,"90,791"
LOUISIANA,Monroe,MLU,MLU,KMLU,Monroe Regional Airport,P-N,"105,274"
LOUISIANA,New Orleans,MSY,MSY,KMSY,Louis Armstrong New Orleans International Airport,P-M,"6,537,092"
LOUISIANA,Shreveport,SHV,SHV,KSHV,Shreveport Regional Airport,P-N,"352,281"
MAINE,Bangor,BGR,BGR,KBGR,Bangor International Airport,P-N,"376,456"
MAINE,Portland,PWM,PWM,KPWM,Portland International Jetport,P-S,"1,221,913"
MAINE,Presque Isle,PQI,PQI,KPQI,Presque Isle International Airport,P-N,"21,633"
MAINE,Rockland,RKD,RKD,KRKD,Knox County Regional Airport,P-N,"13,309"
MARYLAND,Baltimore,BWI,BWI,KBWI,Baltimore/Washington International Airport,P-L,"13,221,461"
MARYLAND,Hagerstown,HGR,HGR,KHGR,Hagerstown Regional Airport (Richard A. Henson Field),P-N,"41,508"
MARYLAND,Salisbury,SBY,SBY,KSBY,Salisbury Regional Airport,P-N,"60,442"
MASSACHUSETTS,Boston,BOS,BOS,KBOS,Gen. Edward Lawrence Logan International Airport,P-L,"21,090,721"
MASSACHUSETTS,Hyannis,HYA,HYA,KHYA,Cape Cod Gateway Airport (Boardman/Polando Field),P-N,"25,626"
MASSACHUSETTS,Nantucket,ACK,ACK,KACK,Nantucket Memorial Airport,P-N,"154,173"
MASSACHUSETTS,Vineyard Haven,MVY,MVY,KMVY,Martha's Vineyard Airport,P-N,"83,419"
MASSACHUSETTS,Worcester,ORH,ORH,KORH,Worcester Regional Airport,P-N,"112,872"
MICHIGAN,Alpena,APN,APN,KAPN,Alpena County Regional Airport,P-N,"11,150"
MICHIGAN,Detroit,DTW,DTW,KDTW,Detroit Metro Wayne County Airport,P-L,"16,110,696"
MICHIGAN,Escanaba,ESC,ESC,KESC,Delta County Airport,P-N,"17,120"
MICHIGAN,Flint,FNT,FNT,KFNT,Bishop International Airport,P-N,"285,088"
MICHIGAN,Grand Rapids,GRR,GRR,KGRR,Gerald R. Ford International Airport,P-S,"2,065,053"
MICHIGAN,Hancock,CMX,CMX,KCMX,Houghton County Memorial Airport,P-N,"25,833"
MICHIGAN,Iron Mountain,IMT,IMT,KIMT,Ford Airport,P-N,"19,483"
